year,departamento,municipios,jrv,inscritos,total_votos,total_porcentaje,nulos,nulos_porcentaje,votos_validos,validos_porcentaje,uno,psoc,pliun ,prt,fsln,map_ml,psc,puca,pcdn,mur,al,pcn,ccn,pronal,mrs,prn,anc,u,pli,uno_96,plc,ac,aln,otros
1990,Nueva Segovia,11,127,49842,44410,0.891,3288,0.074,41122,0.926,19130,154,76,160,20292,290,230,150,109,531,,,,,170,860,94,163,593,157,,,,1319
1990,Madriz,9,122,42847,37658,0.8789,3127,0.083,34531,0.917,19045,140,115,115,13945,227,174,96,91,583,,,,,451,368,223,86,555,92,,,,985
1990,Esteli,6,212,76441,68155,0.8916,4134,0.0607,64021,0.9393,28486,268,161,420,32723,399,407,282,203,672,,,,,282,97,103,115,315,143,,,,1671
1990,Chinandega,13,333,145519,123366,0.8478,5732,0.0465,117634,0.9535,64037,482,269,676,48964,687,617,375,329,1198,,,,,663,108,325,281,409,389,,,,2746
1990,Leon,10,374,149131,128948,0.8647,5547,0.043,123401,0.957,62349,443,459,998,56212,642,573,404,263,1058,,,,,693,96,340,178,317,212,,,,3024
1990,Managua,7,1096,462771,408987,0.8838,17569,0.043,391418,0.957,209527,1157,541,3396,168071,1126,2373,1120,984,3123,,,,,2060,214,1438,1299,488,909,,,,7650
1990,Masaya,9,252,102294,93797,0.9169,5537,0.059,88260,0.941,48370,263,128,347,37018,380,321,207,227,999,,,,,778,224,587,201,266,262,,,,2448
1990,Carazo,8,190,66627,58341,0.8756,3743,0.0642,54598,0.9358,24636,222,90,272,27872,302,231,252,202,519,,,,,355,44,420,204,72,286,,,,1529
1990,Granada,4,203,68792,62014,0.9015,4005,0.0646,58009,0.9354,34538,274,96,339,21294,254,264,181,179,590,,,,,275,80,121,203,160,287,,,,1225
1990,Rivas,10,215,62600,56146,0.8969,2982,0.0531,53164,0.9469,27573,167,98,331,23906,245,170,132,113,429,,,,,106,78,115,103,151,82,,,,1284
1990,Chontales,12,307,116801,97020,0.8306,5462,0.0563,91558,0.9437,64275,466,209,222,23330,513,412,338,460,1333,,,,,344,1010,364,318,488,145,,,,3358
1990,Boaco,6,186,56034,49325,0.8803,2824,0.0573,46501,0.9427,32903,282,103,158,11152,339,273,201,185,905,,,,,196,258,165,322,242,155,,,,1534
1990,Matagalpa,15,365,173196,140153,0.8092,9562,0.0682,130591,0.9318,77294,727,372,629,46225,1329,761,588,476,2190,,,,,394,1263,705,385,547,216,,,,5480
1990,Jinotega,7,154,84291,66893,0.7936,7499,0.1121,59394,0.8879,32723,499,306,328,22162,802,606,441,354,1173,,,,,357,793,591,527,636,171,,,,3665
1990,RACCN,6,137,50196,39549,0.7879,6617,0.1673,32932,0.8327,14989,86,53,96,12755,327,3313,120,154,1030,,,,,283,180,476,368,339,102,,,,2410
